type,seas_id,player_id
All-Defense,6,261
All-Defense,6,629
All-Defense,6,315
All-Defense,6,641
All-Defense,6,271
All-Defense,6,493
All-Defense,6,225
All-Defense,6,132
All-Defense,6,748
All-Defense,6,645
All-NBA,6,359
All-NBA,6,261
All-NBA,6,509
All-NBA,6,0
All-NBA,6,0
All-NBA,6,128
All-NBA,6,733
All-NBA,6,431
All-NBA,6,77
All-NBA,6,135
All-NBA,6,46
All-NBA,6,363
All-NBA,6,17
All-NBA,6,435
All-NBA,6,650
All-Rookie,6,923
All-Rookie,6,936
All-Rookie,6,937
All-Rookie,6,945
All-Rookie,6,981
All-Rookie,6,919
All-Rookie,6,920
All-Rookie,6,927
All-Rookie,6,939
All-Rookie,6,959
All-Defense,5,494
All-Defense,5,225
All-Defense,5,261
All-Defense,5,132
All-Defense,5,271
All-Defense,5,493
All-Defense,5,188
All-Defense,5,431
All-Defense,5,189
All-Defense,5,748
All-NBA,5,261
All-NBA,5,189
All-NBA,5,0
All-NBA,5,0
All-NBA,5,135
All-NBA,5,46
All-NBA,5,224
All-NBA,5,431
All-NBA,5,313
All-NBA,5,17
All-NBA,5,223
All-NBA,5,188
All-NBA,5,192
All-NBA,5,159
All-NBA,5,271
All-Rookie,5,827
All-Rookie,5,842
All-Rookie,5,851
All-Rookie,5,865
All-Rookie,5,868
All-Rookie,5,833
All-Rookie,5,837
All-Rookie,5,838
All-Rookie,5,840
All-Rookie,5,859
All-Defense,4,221
All-Defense,4,494
All-Defense,4,261
All-Defense,4,315
All-Defense,4,271
All-Defense,4,493
All-Defense,4,99
All-Defense,4,164
All-Defense,4,189
All-Defense,4,232
All-NBA,4,221
All-NBA,4,261
All-NBA,4,130
All-NBA,4,17
All-NBA,4,0
All-NBA,4,46
All-NBA,4,224
All-NBA,4,189
All-NBA,4,0
All-NBA,4,435
All-NBA,4,494
All-NBA,4,509
All-NBA,4,188
All-NBA,4,271
All-NBA,4,109
All-Rookie,4,715
All-Rookie,4,773
All-Rookie,4,733
All-Rookie,4,744
All-Rookie,4,768
All-Rookie,4,721
All-Rookie,4,758
All-Rookie,4,761
All-Rookie,4,764
All-Rookie,4,766
All-Defense,3,164
All-Defense,3,261
All-Defense,3,315
All-Defense,3,159
All-Defense,3,271
All-Defense,3,225
All-Defense,3,431
All-Defense,3,132
All-Defense,3,189
All-Defense,3,191
All-NBA,3,261
All-NBA,3,130
All-NBA,3,0
All-NBA,3,159
All-NBA,3,135
All-NBA,3,224
All-NBA,3,431
All-NBA,3,189
All-NBA,3,77
All-NBA,3,192
All-NBA,3,155
All-NBA,3,190
All-NBA,3,17
All-NBA,3,271
All-NBA,3,109
All-Rookie,3,617
All-Rookie,3,629
All-Rookie,3,0
All-Rookie,3,640
All-Rookie,3,650
All-Rookie,3,615
All-Rookie,3,635
All-Rookie,3,637
All-Rookie,3,642
All-Rookie,3,646
All-Defense,2,221
All-Defense,2,132
All-Defense,2,270
All-Defense,2,271
All-Defense,2,275
All-Defense,2,75
All-Defense,2,420
All-Defense,2,225
All-Defense,2,188
All-Defense,2,431
All-NBA,2,221
All-NBA,2,224
All-NBA,2,130
All-NBA,2,77
All-NBA,2,17
All-NBA,2,128
All-NBA,2,261
All-NBA,2,431
All-NBA,2,66
All-NBA,2,109
All-NBA,2,188
All-NBA,2,363
All-NBA,2,159
All-NBA,2,135
All-NBA,2,275
All-Rookie,2,494
All-Rookie,2,504
All-Rookie,2,509
All-Rookie,2,515
All-Rookie,2,516
All-Rookie,2,0
All-Rookie,2,501
All-Rookie,2,510
All-Rookie,2,540
All-Rookie,2,541
All-Defense,1,46
All-Defense,1,225
All-Defense,1,189
All-Defense,1,232
All-Defense,1,271
All-Defense,1,281
All-Defense,1,221
All-Defense,1,127
All-Defense,1,261
All-Defense,1,43
All-NBA,1,221
All-NBA,1,130
All-NBA,1,189
All-NBA,1,17
All-NBA,1,109
All-NBA,1,261
All-NBA,1,201
All-NBA,1,77
All-NBA,1,271
All-NBA,1,135
All-NBA,1,100
All-NBA,1,128
All-NBA,1,225
All-NBA,1,188
All-NBA,1,158
All-Rookie,1,416
All-Rookie,1,0
All-Rookie,1,431
All-Rookie,1,433
All-Rookie,1,0
All-Rookie,1,414
All-Rookie,1,429
All-Rookie,1,430
All-Rookie,1,443
All-Rookie,1,450
